cassava4.1_000001m	GO:0008270,GO:0004842
cassava4.1_003735m	
cassava4.1_003736m	GO:0008168,GO:0008152
cassava4.1_003737m	
cassava4.1_003738m	GO:0004672,GO:0005524,GO:0006468,GO:0048544
cassava4.1_003739m	GO:0003723
cassava4.1_003740m	GO:0031072
cassava4.1_003741m	
cassava4.1_003742m	GO:0005515
cassava4.1_003743m	GO:0003924,GO:0005525
cassava4.1_003744m	GO:0005515
cassava4.1_003745m	
cassava4.1_003746m	GO:0003924,GO:0005525
cassava4.1_003747m	GO:0004571,GO:0005509,GO:0016020
cassava4.1_003748m	GO:0005525,GO:0006614,GO:0003924,GO:0005047,GO:0006184,GO:0006886,GO:0005785
cassava4.1_003749m	GO:0008652,GO:0008080,GO:0008152
cassava4.1_003750m	
cassava4.1_003751m	
cassava4.1_003752m	GO:0016032
cassava4.1_003753m	
cassava4.1_003754m	GO:0003924,GO:0005525
cassava4.1_003755m	GO:0005471,GO:0005524,GO:0006810,GO:0016021
cassava4.1_003756m	GO:0008237,GO:0008270,GO:0019370,GO:0006508
cassava4.1_003757m	GO:0006096,GO:0005945,GO:0003872
cassava4.1_003758m	GO:0004518,GO:0006281
cassava4.1_003759m	GO:0005089
cassava4.1_003760m	
cassava4.1_003761m	GO:0005525,GO:0006614,GO:0003924,GO:0005047,GO:0006184,GO:0006886,GO:0005785
cassava4.1_003762m	GO:0005515,GO:0042802
cassava4.1_003763m	GO:0055114,GO:0016491,GO:0008152,GO:0004491
cassava4.1_003764m	GO:0003824,GO:0051539,GO:0009451,GO:0051536
cassava4.1_003765m	GO:0008168,GO:0008152
cassava4.1_003766m	
cassava4.1_003767m	
cassava4.1_003768m	GO:0016787
cassava4.1_003769m	GO:0016032
cassava4.1_003770m	GO:0008168,GO:0008152
cassava4.1_003771m	
cassava4.1_003772m	
cassava4.1_003773m	GO:0003824,GO:0043169,GO:0005975,GO:0004553
cassava4.1_003774m	GO:0005515
cassava4.1_003775m	GO:0003824,GO:0008152
cassava4.1_003776m	GO:0005515,GO:0006355
cassava4.1_003777m	GO:0003700,GO:0043565,GO:0006355
cassava4.1_003778m	GO:0006887,GO:0000145
cassava4.1_003779m	
cassava4.1_003780m	
cassava4.1_003781m	
cassava4.1_003782m	
cassava4.1_003783m	
cassava4.1_003784m	
cassava4.1_003785m	GO:0008168,GO:0008152
cassava4.1_003786m	GO:0004871,GO:0009416,GO:0005515
cassava4.1_003787m	GO:0008168,GO:0008152
cassava4.1_003788m	GO:0000166,GO:0004812,GO:0005524,GO:0006412,GO:0006418,GO:0005737
cassava4.1_003789m	GO:0046872,GO:0005515
cassava4.1_003790m	GO:0003883,GO:0006221
cassava4.1_003791m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003792m	GO:0016868,GO:0005975
cassava4.1_003793m	GO:0003723,GO:0006396
cassava4.1_003794m	GO:0055085,GO:0016021
cassava4.1_003795m	GO:0005515
cassava4.1_003796m	GO:0004221,GO:0006511,GO:0005515
cassava4.1_003797m	GO:0046872,GO:0005515
cassava4.1_003798m	GO:0005506,GO:0016491,GO:0006633,GO:0055114
cassava4.1_003799m	GO:0055085,GO:0016020
cassava4.1_003800m	GO:0009058
cassava4.1_003801m	GO:0008964,GO:0006099,GO:0015977
cassava4.1_003802m	GO:0005506,GO:0016491,GO:0006633,GO:0055114
cassava4.1_003803m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003804m	
cassava4.1_003805m	GO:0003824,GO:0008152
cassava4.1_003806m	
cassava4.1_003807m	GO:0055085,GO:0016021
cassava4.1_003808m	
cassava4.1_003809m	GO:0016810,GO:0006807
cassava4.1_003810m	GO:0008168,GO:0008152
cassava4.1_003811m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_003812m	
cassava4.1_003813m	
cassava4.1_003814m	GO:0006096,GO:0005945,GO:0003872
cassava4.1_003815m	
cassava4.1_003816m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003817m	GO:0005515,GO:0003676,GO:0008270
cassava4.1_003818m	GO:0008270,GO:0016563,GO:0045941,GO:0005634,GO:0045893,GO:0003743,GO:0006413,GO:0030528,GO:0006355,GO:0006352
cassava4.1_003819m	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737
cassava4.1_003820m	
cassava4.1_003821m	GO:0008270
cassava4.1_003822m	
cassava4.1_003823m	GO:0004579,GO:0006486,GO:0005783,GO:0016021
cassava4.1_003824m	GO:0007049,GO:0006281,GO:0005634
cassava4.1_003825m	GO:0004252,GO:0006508
cassava4.1_003826m	
cassava4.1_003827m	GO:0005515
cassava4.1_003828m	GO:0005515
cassava4.1_003829m	GO:0016614,GO:0050660,GO:0055114
cassava4.1_003830m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_003831m	GO:0015078,GO:0015991,GO:0033177
cassava4.1_003832m	GO:0004579,GO:0006486,GO:0005783,GO:0016021
cassava4.1_003833m	
cassava4.1_003834m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003835m	
cassava4.1_003836m	
cassava4.1_003837m	GO:0003676,GO:0008270
cassava4.1_003838m	
cassava4.1_003839m	GO:0005524
cassava4.1_003840m	GO:0005524
cassava4.1_003841m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003842m	
cassava4.1_003843m	
cassava4.1_003844m	GO:0008237,GO:0008270,GO:0006508
cassava4.1_003845m	
cassava4.1_003846m	GO:0008168,GO:0008152
cassava4.1_003847m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003848m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_003849m	
cassava4.1_003850m	GO:0003676,GO:0005524,GO:0008026,GO:0004386
cassava4.1_003851m	GO:0003676,GO:0005524,GO:0008026,GO:0004386
cassava4.1_003852m	GO:0016787
cassava4.1_003853m	
cassava4.1_003854m	GO:0003676
cassava4.1_003855m	GO:0005506,GO:0016491,GO:0006633,GO:0055114
cassava4.1_003856m	GO:0030528,GO:0006355
cassava4.1_003857m	GO:0008168,GO:0008152
cassava4.1_003858m	GO:0003924,GO:0005525
cassava4.1_003859m	GO:0003924,GO:0005525
cassava4.1_003860m	GO:0016491,GO:0055114,GO:0016651,GO:0051536
cassava4.1_003861m	
cassava4.1_003862m	GO:0005515
cassava4.1_003863m	GO:0005524,GO:0016887,GO:0016020
cassava4.1_003864m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003865m	GO:0003676
cassava4.1_003866m	
cassava4.1_003867m	
cassava4.1_003868m	GO:0006810,GO:0055085,GO:0016020
cassava4.1_003869m	
cassava4.1_003870m	GO:0004489,GO:0006555,GO:0055114
cassava4.1_003871m	
cassava4.1_003872m	GO:0005515
cassava4.1_003873m	GO:0000398,GO:0000245
cassava4.1_003874m	GO:0008168,GO:0008152
cassava4.1_003875m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003876m	GO:0042578
cassava4.1_003877m	GO:0016758,GO:0005975,GO:0030259,GO:0008152
cassava4.1_003878m	GO:0005515
cassava4.1_003879m	
cassava4.1_003880m	
cassava4.1_003881m	
cassava4.1_003882m	GO:0003676,GO:0005524,GO:0008026,GO:0004386
cassava4.1_003883m	GO:0005524,GO:0044267
cassava4.1_003884m	GO:0009058
cassava4.1_003885m	GO:0016884
cassava4.1_003886m	GO:0009058
cassava4.1_003887m	GO:0009058
cassava4.1_003888m	GO:0016833,GO:0009058
cassava4.1_003889m	GO:0004794,GO:0009097,GO:0003824,GO:0030170,GO:0008152
cassava4.1_003890m	GO:0003723,GO:0004809,GO:0008033
cassava4.1_003891m	GO:0004601,GO:0020037,GO:0006979,GO:0055114
cassava4.1_003892m	GO:0003824,GO:0006188,GO:0003937,GO:0004643,GO:0006164
cassava4.1_003893m	
cassava4.1_003894m	
cassava4.1_003895m	GO:0004252,GO:0006508
cassava4.1_003896m	GO:0003723,GO:0004809,GO:0008033
cassava4.1_003897m	
cassava4.1_003898m	GO:0009058
cassava4.1_003899m	
cassava4.1_003900m	
cassava4.1_003901m	GO:0005622,GO:0005730,GO:0042254,GO:0008283
cassava4.1_003902m	GO:0003824,GO:0008152,GO:0046912,GO:0044262
cassava4.1_003903m	GO:0003824,GO:0008152,GO:0046912,GO:0044262
cassava4.1_003904m	GO:0048544,GO:0005529,GO:0006468,GO:0004672
cassava4.1_003905m	GO:0055085,GO:0016021
cassava4.1_003906m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003907m	GO:0005524,GO:0044267
cassava4.1_003908m	GO:0003824,GO:0008152,GO:0046912,GO:0044262
cassava4.1_003909m	
cassava4.1_003910m	GO:0004812,GO:0005524,GO:0006412,GO:0005737,GO:0000166,GO:0006418,GO:0003676,GO:0016874
cassava4.1_003911m	GO:0005515
cassava4.1_003912m	GO:0005524
cassava4.1_003913m	
cassava4.1_003914m	GO:0004420,GO:0050662,GO:0015936,GO:0055114
cassava4.1_003915m	GO:0000166,GO:0046872
cassava4.1_003916m	GO:0009058
cassava4.1_003917m	GO:0005515
cassava4.1_003918m	GO:0005515
cassava4.1_003919m	
cassava4.1_003920m	GO:0003676,GO:0008270
cassava4.1_003921m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003922m	GO:0055085,GO:0046873,GO:0030001,GO:0016020
cassava4.1_003923m	GO:0005515,GO:0004871,GO:0009416
cassava4.1_003924m	GO:0003824,GO:0030170,GO:0008152,GO:0004794,GO:0009097
cassava4.1_003925m	
cassava4.1_003926m	
cassava4.1_003927m	GO:0005525
cassava4.1_003928m	
cassava4.1_003929m	GO:0005215,GO:0006857,GO:0016020
cassava4.1_003930m	GO:0030599,GO:0042545,GO:0005618,GO:0004857
cassava4.1_003931m	
cassava4.1_003932m	GO:0043531,GO:0006915,GO:0005524
cassava4.1_003933m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003934m	GO:0000287,GO:0030976,GO:0003824
cassava4.1_003935m	
cassava4.1_003936m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003937m	
cassava4.1_003938m	GO:0005515
cassava4.1_003939m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003940m	GO:0008270,GO:0005622,GO:0031072
cassava4.1_003941m	GO:0005515,GO:0016884
cassava4.1_003942m	
cassava4.1_003943m	GO:0003676,GO:0005524,GO:0008026,GO:0004386,GO:0005622,GO:0043140,GO:0006260,GO:0006281,GO:0006310
cassava4.1_003944m	GO:0005515
cassava4.1_003945m	
cassava4.1_003946m	GO:0003824,GO:0030976,GO:0000287
cassava4.1_003947m	GO:0003735,GO:0006412,GO:0005622,GO:0005840,GO:0016779,GO:0008152
cassava4.1_003948m	GO:0003883,GO:0006221
cassava4.1_003949m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_003950m	GO:0005515
cassava4.1_003951m	GO:0030599,GO:0042545,GO:0005618,GO:0004857
cassava4.1_003952m	
cassava4.1_003953m	GO:0005524,GO:0016887,GO:0009055,GO:0051536
cassava4.1_003954m	GO:0005524,GO:0016887,GO:0009055,GO:0051536
cassava4.1_003955m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003956m	GO:0006887,GO:0000145
cassava4.1_003957m	GO:0005525,GO:0005622
cassava4.1_003958m	GO:0005515
cassava4.1_003959m	GO:0005524,GO:0019205,GO:0006139,GO:0004017
cassava4.1_003960m	
cassava4.1_003961m	GO:0005515,GO:0016020,GO:0008270,GO:0007155,GO:0006508,GO:0004222
cassava4.1_003962m	GO:0003723
cassava4.1_003963m	GO:0016491,GO:0055114,GO:0005507
cassava4.1_003964m	
cassava4.1_003965m	
cassava4.1_003966m	
cassava4.1_003967m	GO:0016616,GO:0055114,GO:0051287
cassava4.1_003968m	GO:0016491,GO:0055114
cassava4.1_003969m	
cassava4.1_003970m	
cassava4.1_003971m	GO:0008762,GO:0016491,GO:0050660,GO:0055114,GO:0016020,GO:0003885
cassava4.1_003972m	GO:0000398,GO:0005681
cassava4.1_003973m	
cassava4.1_003974m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_003975m	GO:0000156,GO:0000160,GO:0006355,GO:0000155,GO:0007165,GO:0016020,GO:0005515,GO:0005524
cassava4.1_003976m	
cassava4.1_003977m	GO:0005515,GO:0004871,GO:0009416
cassava4.1_003978m	GO:0016616,GO:0055114,GO:0051287
cassava4.1_003979m	
cassava4.1_003980m	
cassava4.1_003981m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003982m	GO:0004420,GO:0050662,GO:0015936,GO:0055114
cassava4.1_003983m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003984m	GO:0008762,GO:0016491,GO:0050660,GO:0055114,GO:0016020,GO:0003885
cassava4.1_003985m	GO:0005515
cassava4.1_003986m	
cassava4.1_003987m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003988m	
cassava4.1_003989m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_003990m	GO:0008168,GO:0008152
cassava4.1_003991m	GO:0003676
cassava4.1_003992m	
cassava4.1_003993m	
cassava4.1_003994m	GO:0006810,GO:0055085,GO:0016020
cassava4.1_003995m	GO:0005515
cassava4.1_003996m	GO:0016746,GO:0016747,GO:0006633,GO:0016020,GO:0008610
cassava4.1_003997m	GO:0004345,GO:0050661,GO:0006006,GO:0055114
cassava4.1_003998m	
cassava4.1_003999m	GO:0005515
cassava4.1_004000m	
cassava4.1_004001m	GO:0003777,GO:0005524,GO:0007018
cassava4.1_004002m	GO:0004672,GO:0005524,GO:0006468,GO:0006950
cassava4.1_004003m	GO:0005515,GO:0042802
cassava4.1_004004m	GO:0004345,GO:0050661,GO:0006006,GO:0055114
cassava4.1_004005m	GO:0004806,GO:0006629
cassava4.1_004006m	
cassava4.1_004007m	GO:0006189,GO:0034023,GO:0004638
cassava4.1_004008m	
cassava4.1_004009m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004010m	GO:0042578
cassava4.1_004011m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004012m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004013m	GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021
cassava4.1_004014m	GO:0044237
cassava4.1_004015m	GO:0030528,GO:0006355
cassava4.1_004016m	GO:0005515
cassava4.1_004017m	
cassava4.1_004018m	
cassava4.1_004019m	GO:0003677,GO:0006355
cassava4.1_004020m	
cassava4.1_004021m	
cassava4.1_004022m	
cassava4.1_004023m	
cassava4.1_004024m	GO:0016614,GO:0050660,GO:0055114
cassava4.1_004025m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004026m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004027m	GO:0008168,GO:0008152
cassava4.1_004028m	GO:0005634,GO:0019901,GO:0006355,GO:0000079
cassava4.1_004029m	GO:0003883,GO:0006221
cassava4.1_004030m	
cassava4.1_004031m	GO:0016020
cassava4.1_004032m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004033m	GO:0046872,GO:0003824,GO:0008152
cassava4.1_004034m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004035m	GO:0008168,GO:0008152
cassava4.1_004036m	GO:0003883,GO:0006221
cassava4.1_004037m	GO:0005634,GO:0019901,GO:0006355,GO:0000079
cassava4.1_004038m	GO:0005634,GO:0019901,GO:0006355,GO:0000079
cassava4.1_004039m	GO:0016616,GO:0051287,GO:0008152,GO:0055114,GO:0016597,GO:0048037,GO:0006564,GO:0004617
cassava4.1_004040m	
cassava4.1_004041m	
cassava4.1_004042m	GO:0003677,GO:0006355
cassava4.1_004043m	
cassava4.1_004044m	GO:0055085,GO:0016021,GO:0005215,GO:0006857,GO:0016020
cassava4.1_004045m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004046m	
cassava4.1_004047m	GO:0003700,GO:0043565,GO:0046983,GO:0006355
cassava4.1_004048m	GO:0016616,GO:0055114,GO:0051287
cassava4.1_004049m	
cassava4.1_004050m	
cassava4.1_004051m	GO:0003677
cassava4.1_004052m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004053m	
cassava4.1_004054m	GO:0003755,GO:0006457
cassava4.1_004055m	GO:0003824,GO:0008152
cassava4.1_004056m	
cassava4.1_004057m	
cassava4.1_004058m	GO:0003676
cassava4.1_004059m	
cassava4.1_004060m	
cassava4.1_004061m	GO:0006511,GO:0007275,GO:0005634,GO:0005515,GO:0003677
cassava4.1_004062m	
cassava4.1_004063m	GO:0016021
cassava4.1_004064m	
cassava4.1_004065m	GO:0006904,GO:0016192
cassava4.1_004066m	
cassava4.1_004067m	GO:0016614,GO:0050660,GO:0055114
cassava4.1_004068m	
cassava4.1_004069m	
cassava4.1_004070m	GO:0016491,GO:0055114,GO:0005507
cassava4.1_004071m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004072m	
cassava4.1_004073m	GO:0000398,GO:0000245
cassava4.1_004074m	GO:0004806,GO:0006629
cassava4.1_004075m	GO:0006887,GO:0000145
cassava4.1_004076m	GO:0008168,GO:0008152
cassava4.1_004077m	GO:0006412,GO:0005840,GO:0005622,GO:0003735
cassava4.1_004078m	
cassava4.1_004079m	GO:0009055,GO:0016491,GO:0055114
cassava4.1_004080m	GO:0004672,GO:0005524,GO:0006468,GO:0005515
cassava4.1_004081m	GO:0005524,GO:0016887
cassava4.1_004082m	
cassava4.1_004083m	GO:0016616,GO:0051287,GO:0008152,GO:0055114,GO:0016597,GO:0048037,GO:0006564,GO:0004617
cassava4.1_004084m	
cassava4.1_004085m	GO:0016616,GO:0051287,GO:0008152,GO:0055114,GO:0016597,GO:0048037
cassava4.1_004086m	
cassava4.1_004087m	
cassava4.1_004088m	GO:0005515,GO:0005524,GO:0016818,GO:0006355,GO:0005634
cassava4.1_004089m	
cassava4.1_004090m	GO:0003824,GO:0008152
cassava4.1_004091m	GO:0006270
cassava4.1_004092m	GO:0016491,GO:0051537,GO:0055114,GO:0010277
cassava4.1_004093m	GO:0005215,GO:0006857,GO:0016020
cassava4.1_004094m	
cassava4.1_004095m	
cassava4.1_004096m	GO:0031072
cassava4.1_004097m	GO:0004345,GO:0050661,GO:0006006,GO:0055114
cassava4.1_004098m	GO:0004806,GO:0006629
cassava4.1_004099m	
cassava4.1_004100m	
cassava4.1_004101m	GO:0016757
cassava4.1_004102m	GO:0005381,GO:0034755,GO:0016021
cassava4.1_004103m	GO:0008270,GO:0005622
cassava4.1_004104m	GO:0005524,GO:0051082,GO:0006457,GO:0006950
cassava4.1_004105m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004106m	GO:0008168,GO:0008152
cassava4.1_004107m	GO:0003676,GO:0005524,GO:0008026,GO:0004386,GO:0003677,GO:0016787
cassava4.1_004108m	GO:0003677
cassava4.1_004109m	GO:0016021
cassava4.1_004110m	
cassava4.1_004111m	GO:0022857,GO:0055085,GO:0016021
cassava4.1_004112m	GO:0005515,GO:0004435,GO:0006629,GO:0007165,GO:0035556,GO:0004629
cassava4.1_004113m	GO:0005524,GO:0016887
cassava4.1_004114m	GO:0004455,GO:0009082,GO:0055114,GO:0008652,GO:0016491
cassava4.1_004115m	
cassava4.1_004116m	GO:0005515,GO:0004871,GO:0009416
cassava4.1_004117m	GO:0010044
cassava4.1_004118m	GO:0003723,GO:0004826,GO:0006412,GO:0000287,GO:0005524,GO:0006432
cassava4.1_004119m	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0005737,GO:0003676,GO:0006412
cassava4.1_004120m	GO:0003723,GO:0004826,GO:0000287,GO:0005524,GO:0006432,GO:0006412
cassava4.1_004121m	GO:0005515
cassava4.1_004122m	GO:0003677,GO:0006355,GO:0009725,GO:0005634
cassava4.1_004123m	GO:0005524,GO:0051082,GO:0006457,GO:0006950
cassava4.1_004124m	GO:0003676,GO:0008270,GO:0005524,GO:0008026,GO:0004386
cassava4.1_004125m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004126m	GO:0016829,GO:0008152,GO:0000287,GO:0010333
cassava4.1_004127m	
cassava4.1_004128m	
cassava4.1_004129m	GO:0005381,GO:0034755,GO:0016021
cassava4.1_004130m	GO:0005089
cassava4.1_004131m	GO:0016757
cassava4.1_004132m	GO:0016491,GO:0008152,GO:0055114
cassava4.1_004133m	
cassava4.1_004134m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004135m	GO:0016021
cassava4.1_004136m	GO:0003824,GO:0008152
cassava4.1_004137m	GO:0003676,GO:0008270,GO:0005524,GO:0008026,GO:0004386
cassava4.1_004138m	
cassava4.1_004139m	GO:0016491,GO:0055114,GO:0005507
cassava4.1_004140m	
cassava4.1_004141m	GO:0005515,GO:0004435,GO:0006629,GO:0007165,GO:0035556,GO:0004629
cassava4.1_004142m	
cassava4.1_004143m	
cassava4.1_004144m	GO:0005529,GO:0005975,GO:0004553
cassava4.1_004145m	
cassava4.1_004146m	
cassava4.1_004147m	GO:0055085,GO:0016021
cassava4.1_004148m	GO:0003677,GO:0006355
cassava4.1_004149m	GO:0015450,GO:0006886,GO:0005744
cassava4.1_004150m	GO:0005515,GO:0004435,GO:0006629,GO:0007165,GO:0035556,GO:0004629
cassava4.1_004151m	GO:0016491,GO:0055114,GO:0005507
cassava4.1_004152m	GO:0005515
cassava4.1_004153m	
cassava4.1_004154m	GO:0005515,GO:0016773
cassava4.1_004155m	
cassava4.1_004156m	
cassava4.1_004157m	GO:0005524,GO:0051082,GO:0006457,GO:0006950
cassava4.1_004158m	
cassava4.1_004159m	
cassava4.1_004160m	GO:0005515
cassava4.1_004161m	
cassava4.1_004162m	GO:0005515
cassava4.1_004163m	GO:0016021
cassava4.1_004164m	GO:0016616,GO:0055114,GO:0051287
cassava4.1_004165m	GO:0016491,GO:0055114,GO:0005507
cassava4.1_004166m	GO:0016021
cassava4.1_004167m	GO:0004372,GO:0006544,GO:0006563
cassava4.1_004168m	
cassava4.1_004169m	GO:0008270
cassava4.1_004170m	GO:0016616,GO:0055114,GO:0051287
cassava4.1_004171m	GO:0008703,GO:0009231,GO:0055114,GO:0008270,GO:0016787
cassava4.1_004172m	
cassava4.1_004173m	
cassava4.1_004174m	
cassava4.1_004175m	GO:0016021
cassava4.1_004176m	GO:0031072,GO:0005515
cassava4.1_004177m	
cassava4.1_004178m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004179m	
cassava4.1_004180m	GO:0004871,GO:0009416
cassava4.1_004181m	GO:0005515,GO:0003677,GO:0006352,GO:0016570,GO:0005634
cassava4.1_004182m	
cassava4.1_004183m	
cassava4.1_004184m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004185m	
cassava4.1_004186m	GO:0008270
cassava4.1_004187m	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
cassava4.1_004188m	
cassava4.1_004189m	GO:0055085,GO:0016021
cassava4.1_004190m	
cassava4.1_004191m	
cassava4.1_004192m	GO:0015969
cassava4.1_004193m	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855
cassava4.1_004194m	GO:0008270,GO:0005622
cassava4.1_004195m	GO:0006886,GO:0005622
cassava4.1_004196m	
cassava4.1_004197m	GO:0005215,GO:0006857,GO:0016020
cassava4.1_004198m	GO:0004252,GO:0006508
cassava4.1_004199m	GO:0055085,GO:0016021
cassava4.1_004200m	GO:0055085
cassava4.1_004201m	GO:0008270,GO:0005622
cassava4.1_004202m	GO:0005515
cassava4.1_004203m	
cassava4.1_004204m	GO:0006810,GO:0055085,GO:0016020,GO:0015171,GO:0003333
cassava4.1_004205m	GO:0004871,GO:0009416
cassava4.1_004206m	GO:0008152,GO:0004066,GO:0006529
cassava4.1_004207m	GO:0005515,GO:0016773
cassava4.1_004208m	GO:0000287,GO:0030976,GO:0003824
cassava4.1_004209m	GO:0004420,GO:0050662,GO:0015936,GO:0055114
cassava4.1_004210m	GO:0005524,GO:0044267
cassava4.1_004211m	GO:0055085,GO:0016021
cassava4.1_004212m	GO:0006457,GO:0005515
cassava4.1_004213m	GO:0005215,GO:0006857,GO:0016020
cassava4.1_004214m	GO:0000287,GO:0030976,GO:0003824
cassava4.1_004215m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004216m	
cassava4.1_004217m	GO:0005524,GO:0016773,GO:0006139
cassava4.1_004218m	GO:0016758,GO:0005975,GO:0030259,GO:0008152
cassava4.1_004219m	GO:0004806,GO:0006629
cassava4.1_004220m	
cassava4.1_004221m	GO:0004252,GO:0006508
cassava4.1_004222m	
cassava4.1_004223m	GO:0008270,GO:0003676
cassava4.1_004224m	GO:0016841,GO:0009058
cassava4.1_004225m	
cassava4.1_004226m	GO:0030599,GO:0042545,GO:0005618,GO:0004857
cassava4.1_004227m	GO:0004455,GO:0009082,GO:0055114,GO:0008652
cassava4.1_004228m	GO:0005515,GO:0016884
cassava4.1_004229m	
cassava4.1_004230m	GO:0000287,GO:0004743,GO:0030955,GO:0006096
cassava4.1_004231m	
cassava4.1_004232m	GO:0005515
cassava4.1_004233m	GO:0016491,GO:0020037,GO:0051536,GO:0055114
cassava4.1_004234m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004235m	GO:0005515
cassava4.1_004236m	
cassava4.1_004237m	GO:0003676
cassava4.1_004238m	GO:0005515
cassava4.1_004239m	GO:0005515
cassava4.1_004240m	
cassava4.1_004241m	GO:0000166,GO:0004814,GO:0005524,GO:0006420,GO:0005737
cassava4.1_004242m	GO:0009116,GO:0008152,GO:0009113,GO:0004044
cassava4.1_004243m	GO:0003840
cassava4.1_004244m	GO:0016021
cassava4.1_004245m	GO:0006887,GO:0000145
cassava4.1_004246m	GO:0005515
cassava4.1_004247m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004248m	GO:0005515
cassava4.1_004249m	GO:0005515
cassava4.1_004250m	GO:0004553,GO:0005975
cassava4.1_004251m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004252m	GO:0005515
cassava4.1_004253m	GO:0005515
cassava4.1_004254m	GO:0003676
cassava4.1_004255m	GO:0003723
cassava4.1_004256m	GO:0005515,GO:0016773
cassava4.1_004257m	GO:0005515
cassava4.1_004258m	GO:0003677
cassava4.1_004259m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004260m	GO:0005515
cassava4.1_004261m	GO:0004420,GO:0050662,GO:0015936,GO:0055114
cassava4.1_004262m	GO:0005515
cassava4.1_004263m	GO:0005524,GO:0044267
cassava4.1_004264m	
cassava4.1_004265m	GO:0016491,GO:0055114
cassava4.1_004266m	
cassava4.1_004267m	
cassava4.1_004268m	GO:0016020
cassava4.1_004269m	
cassava4.1_004270m	GO:0004672,GO:0005524,GO:0006468
cassava4.1_004271m	GO:0003723
cassava4.1_004272m	
cassava4.1_004273m	GO:0003723,GO:0016779,GO:0006396
cassava4.1_004274m	GO:0005215,GO:0006857,GO:0016020,GO:0055085,GO:0016021
cassava4.1_004275m	
cassava4.1_004276m	GO:0005634
cassava4.1_004277m	GO:0055085,GO:0016021
cassava4.1_004278m	
cassava4.1_004279m	
cassava4.1_004280m	GO:0004177,GO:0006508,GO:0005622
cassava4.1_004281m	GO:0005515
cassava4.1_004282m	
cassava4.1_004283m	GO:0008219,GO:0016021
cassava4.1_004284m	
cassava4.1_004285m	GO:0005515
cassava4.1_004286m	
cassava4.1_004287m	GO:0005515,GO:0016773
cassava4.1_004288m	GO:0005515
cassava4.1_004289m	GO:0005515
cassava4.1_004290m	GO:0004435,GO:0006629,GO:0007165,GO:0035556,GO:0004629,GO:0005515
cassava4.1_004291m	GO:0005515
cassava4.1_004292m	
