Ciclev10000001m	GO:0005515,GO:0016881,GO:0006464,GO:0005622
Ciclev10008254m	GO:0019205,GO:0006139,GO:0005524
Ciclev10008255m	
Ciclev10008256m	
Ciclev10008257m	
Ciclev10008258m	GO:0016758,GO:0008152
Ciclev10008259m	GO:0008168
Ciclev10008260m	GO:0003676
Ciclev10008261m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008262m	GO:0006461,GO:0016020
Ciclev10008263m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008264m	GO:0005515
Ciclev10008265m	GO:0016747
Ciclev10008266m	
Ciclev10008267m	
Ciclev10008268m	GO:0016491
Ciclev10008269m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008270m	
Ciclev10008271m	GO:0016020
Ciclev10008272m	
Ciclev10008273m	GO:0008270,GO:0006508,GO:0004222
Ciclev10008274m	GO:0030170,GO:0016769,GO:0009058,GO:0008483,GO:0006520
Ciclev10008275m	
Ciclev10008276m	GO:0005634
Ciclev10008277m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008278m	GO:0006357,GO:0033588
Ciclev10008279m	GO:0005515
Ciclev10008280m	
Ciclev10008281m	GO:0005515
Ciclev10008282m	GO:0005515
Ciclev10008283m	GO:0005515
Ciclev10008284m	GO:0006508,GO:0004190
Ciclev10008285m	GO:0016491
Ciclev10008286m	GO:0005515
Ciclev10008287m	GO:0005515
Ciclev10008288m	GO:0009982,GO:0009451,GO:0003723,GO:0001522
Ciclev10008289m	
Ciclev10008290m	
Ciclev10008291m	GO:0007205,GO:0004143
Ciclev10008292m	
Ciclev10008293m	GO:0006508,GO:0004190
Ciclev10008294m	
Ciclev10008295m	
Ciclev10008296m	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855
Ciclev10008297m	GO:0046872,GO:0008152,GO:0003824
Ciclev10008298m	
Ciclev10008299m	GO:0003824
Ciclev10008300m	
Ciclev10008301m	
Ciclev10008302m	GO:0051082,GO:0031072,GO:0006457
Ciclev10008303m	GO:0016020,GO:0015018
Ciclev10008304m	
Ciclev10008305m	GO:0016020,GO:0015018
Ciclev10008306m	GO:0016020,GO:0015018
Ciclev10008307m	
Ciclev10008308m	GO:0005515
Ciclev10008309m	
Ciclev10008310m	
Ciclev10008311m	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677
Ciclev10008312m	GO:0006783,GO:0004325
Ciclev10008313m	GO:0016787,GO:0046872
Ciclev10008314m	GO:0016747
Ciclev10008315m	GO:0007165,GO:0006468,GO:0005524,GO:0004672
Ciclev10008316m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008317m	
Ciclev10008318m	
Ciclev10008319m	
Ciclev10008320m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008321m	
Ciclev10008322m	
Ciclev10008323m	GO:0007205,GO:0004143
Ciclev10008324m	GO:0005515
Ciclev10008325m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008326m	
Ciclev10008327m	GO:0008152,GO:0003824
Ciclev10008328m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008329m	GO:0005525,GO:0003924
Ciclev10008330m	GO:0055114,GO:0016491,GO:0008270
Ciclev10008331m	GO:0005515
Ciclev10008332m	
Ciclev10008333m	GO:0005515
Ciclev10008334m	
Ciclev10008335m	
Ciclev10008336m	GO:0016021,GO:0004659
Ciclev10008337m	GO:0032313,GO:0005622,GO:0005097
Ciclev10008338m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008339m	
Ciclev10008340m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008341m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008342m	GO:0032313,GO:0005622,GO:0005097
Ciclev10008343m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008344m	
Ciclev10008345m	GO:0016787
Ciclev10008346m	GO:0005515
Ciclev10008347m	GO:0051205,GO:0016021
Ciclev10008348m	
Ciclev10008349m	
Ciclev10008350m	GO:0008270,GO:0005622
Ciclev10008351m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008352m	
Ciclev10008353m	
Ciclev10008354m	GO:0030170,GO:0008152,GO:0003824
Ciclev10008355m	GO:0050662,GO:0044237,GO:0003824
Ciclev10008356m	
Ciclev10008357m	
Ciclev10008358m	GO:0005515
Ciclev10008359m	
Ciclev10008360m	
Ciclev10008361m	
Ciclev10008362m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008363m	
Ciclev10008364m	
Ciclev10008365m	GO:0006468,GO:0004672
Ciclev10008366m	GO:0008270,GO:0005622,GO:0005515
Ciclev10008367m	GO:0003677,GO:0000784,GO:0000723
Ciclev10008368m	GO:0005515
Ciclev10008369m	GO:0055114,GO:0004497
Ciclev10008370m	
Ciclev10008371m	
Ciclev10008372m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008373m	
Ciclev10008374m	
Ciclev10008375m	
Ciclev10008376m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008377m	GO:0005515
Ciclev10008378m	GO:0005515
Ciclev10008379m	
Ciclev10008380m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008381m	
Ciclev10008382m	GO:0005515
Ciclev10008383m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10008384m	GO:0055114,GO:0004497
Ciclev10008385m	
Ciclev10008386m	
Ciclev10008387m	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855
Ciclev10008388m	
Ciclev10008389m	
Ciclev10008390m	
Ciclev10008391m	
Ciclev10008392m	GO:0020037,GO:0016705,GO:0009055,GO:0005506
Ciclev10008393m	GO:0003676
Ciclev10008394m	GO:0003676
Ciclev10008395m	
Ciclev10008396m	GO:0055114,GO:0004497
Ciclev10008397m	GO:0016020,GO:0008375
Ciclev10008398m	GO:0055114,GO:0004497
Ciclev10008399m	
Ciclev10008400m	GO:0046872
Ciclev10008401m	GO:0055085,GO:0016021,GO:0015299,GO:0006812
Ciclev10008402m	GO:0005515
Ciclev10008403m	GO:0008270
Ciclev10008404m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10008405m	GO:0055114
Ciclev10008406m	GO:0016787,GO:0008152
Ciclev10008407m	
Ciclev10008408m	GO:0008289
Ciclev10008409m	GO:0005515
Ciclev10008410m	GO:0016705,GO:0016117
Ciclev10008411m	GO:0020037,GO:0016705,GO:0009055,GO:0005506
Ciclev10008412m	
Ciclev10008413m	GO:0046983,GO:0006351,GO:0003899
Ciclev10008414m	
Ciclev10008415m	
Ciclev10008416m	GO:0016020,GO:0008508,GO:0006814
Ciclev10008417m	
Ciclev10008418m	GO:0007165,GO:0006468,GO:0005524,GO:0004672
Ciclev10008419m	GO:0055085,GO:0046873,GO:0030001,GO:0016020
Ciclev10008420m	GO:0042398,GO:0016872
Ciclev10008421m	GO:0005515
Ciclev10008422m	GO:0005524
Ciclev10008423m	
Ciclev10008424m	GO:0006468,GO:0004672
Ciclev10008425m	GO:0005634,GO:0003677
Ciclev10008426m	GO:0006468,GO:0004672
Ciclev10008427m	GO:0005515
Ciclev10008428m	GO:0005515
Ciclev10008429m	
Ciclev10008430m	GO:0006468,GO:0004672
Ciclev10008431m	GO:0006468,GO:0004672
Ciclev10008432m	GO:0006468,GO:0004672
Ciclev10008433m	GO:0006468,GO:0004672
Ciclev10008434m	GO:0005634,GO:0003677
Ciclev10008435m	GO:0016790,GO:0006633
Ciclev10008436m	GO:0016779,GO:0043631,GO:0005634,GO:0004652,GO:0003723,GO:0006351
Ciclev10008437m	GO:0003676
Ciclev10008438m	GO:0005515
Ciclev10008439m	GO:0016020,GO:0008378,GO:0006486
Ciclev10008440m	GO:0003676
Ciclev10008441m	GO:0050660,GO:0016491,GO:0055114,GO:0019139,GO:0009690
Ciclev10008442m	GO:0016021,GO:0004659
Ciclev10008443m	
Ciclev10008444m	GO:0046961,GO:0046933,GO:0045261,GO:0015986
Ciclev10008445m	GO:0051258,GO:0043234
Ciclev10008446m	GO:0003723
Ciclev10008447m	GO:0003723
Ciclev10008448m	GO:0030170,GO:0016769,GO:0009058
Ciclev10008449m	GO:0003824
Ciclev10008450m	GO:0055114,GO:0004497
Ciclev10008451m	
Ciclev10008452m	GO:0005515
Ciclev10008453m	
Ciclev10008454m	
Ciclev10008455m	GO:0016020,GO:0008375
Ciclev10008456m	GO:0005515
Ciclev10008457m	GO:0016020,GO:0008375
Ciclev10008458m	GO:0003676
Ciclev10008459m	GO:0016491
Ciclev10008460m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10008461m	GO:0016301,GO:0008152,GO:0005524,GO:0016773
Ciclev10008462m	GO:0005515
Ciclev10008463m	GO:0016491
Ciclev10008464m	GO:0055114
Ciclev10008465m	GO:0003676
Ciclev10008466m	GO:0055114,GO:0050661,GO:0050660,GO:0004499
Ciclev10008467m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10008468m	GO:0005524,GO:0004386,GO:0003676,GO:0008026
Ciclev10008469m	GO:0016021,GO:0004659
Ciclev10008470m	GO:0016301,GO:0008152,GO:0005524,GO:0016773
Ciclev10008471m	GO:0016301,GO:0008152,GO:0005524,GO:0016773
Ciclev10008472m	
Ciclev10008473m	GO:0055114,GO:0050661,GO:0050660,GO:0004499
Ciclev10008474m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008475m	
Ciclev10008476m	
Ciclev10008477m	
Ciclev10008478m	GO:0004190,GO:0006508,GO:0005515
Ciclev10008479m	GO:0005515
Ciclev10008480m	
Ciclev10008481m	GO:0055114,GO:0051537,GO:0019439,GO:0016708,GO:0005506,GO:0016491
Ciclev10008482m	
Ciclev10008483m	GO:0016021,GO:0004659
Ciclev10008484m	
Ciclev10008485m	
Ciclev10008486m	GO:0016020,GO:0008378,GO:0006486
Ciclev10008487m	GO:0005515
Ciclev10008488m	
Ciclev10008489m	GO:0030170,GO:0016769,GO:0009058,GO:0008483,GO:0006520
Ciclev10008490m	
Ciclev10008491m	GO:0008152,GO:0003824
Ciclev10008492m	
Ciclev10008493m	GO:0043565,GO:0006355,GO:0003700
Ciclev10008494m	GO:0016787
Ciclev10008495m	GO:0003676
Ciclev10008496m	
Ciclev10008497m	GO:0008168,GO:0005737
Ciclev10008498m	GO:0016021,GO:0004659
Ciclev10008499m	GO:0005975,GO:0004553
Ciclev10008500m	GO:0016020
Ciclev10008501m	
Ciclev10008502m	
Ciclev10008503m	GO:0016021,GO:0004659
Ciclev10008504m	GO:0016491
Ciclev10008505m	GO:0016773,GO:0005975,GO:0005524
Ciclev10008507m	
Ciclev10008508m	
Ciclev10008509m	GO:0004411,GO:0006559,GO:0006570,GO:0055114
Ciclev10008510m	
Ciclev10008511m	
Ciclev10008512m	GO:0008289
Ciclev10008513m	GO:0003676
Ciclev10008514m	
Ciclev10008515m	GO:0046983,GO:0043565,GO:0006355,GO:0003700
Ciclev10008516m	GO:0005622,GO:0005525
Ciclev10008517m	
Ciclev10008518m	GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166,GO:0006436,GO:0004830
Ciclev10008519m	
Ciclev10008520m	GO:0016491,GO:0008152
Ciclev10008521m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008522m	
Ciclev10008523m	GO:0009001,GO:0006535,GO:0005737
Ciclev10008524m	GO:0006508,GO:0004190
Ciclev10008525m	GO:0003677,GO:0000784,GO:0000723
Ciclev10008526m	GO:0055114
Ciclev10008527m	GO:0055114
Ciclev10008528m	GO:0055114
Ciclev10008529m	
Ciclev10008530m	GO:0055114
Ciclev10008531m	GO:0003824
Ciclev10008532m	GO:0055114
Ciclev10008533m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008534m	
Ciclev10008535m	
Ciclev10008536m	GO:0016020
Ciclev10008537m	GO:0005515
Ciclev10008538m	
Ciclev10008539m	GO:0016491
Ciclev10008540m	GO:0006468,GO:0005524,GO:0004672,GO:0004674
Ciclev10008541m	GO:0016020,GO:0008375
Ciclev10008542m	GO:0016020,GO:0008375
Ciclev10008543m	GO:0006468,GO:0005524,GO:0004672,GO:0004674
Ciclev10008544m	
Ciclev10008545m	
Ciclev10008546m	GO:0008270,GO:0006508,GO:0004222
Ciclev10008547m	GO:0016021,GO:0008219
Ciclev10008548m	GO:0006508,GO:0004197
Ciclev10008549m	GO:0016020,GO:0006810,GO:0005337
Ciclev10008550m	GO:0016491
Ciclev10008551m	GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166,GO:0006436,GO:0004830
Ciclev10008552m	GO:0003824
Ciclev10008553m	GO:0003824
Ciclev10008554m	
Ciclev10008555m	GO:0005975,GO:0004553
Ciclev10008556m	GO:0051205,GO:0016021
Ciclev10008557m	GO:0019001,GO:0007186,GO:0004871,GO:0006471,GO:0005525
Ciclev10008558m	GO:0019001,GO:0007186,GO:0004871,GO:0006471,GO:0005525
Ciclev10008559m	GO:0016021,GO:0004659
Ciclev10008560m	
Ciclev10008561m	GO:0009245,GO:0009029,GO:0005524
Ciclev10008562m	GO:0055114,GO:0016491,GO:0030060,GO:0006108
Ciclev10008563m	GO:0055085,GO:0016021,GO:0015299,GO:0006812
Ciclev10008564m	GO:0016020
Ciclev10008565m	GO:0055114,GO:0004497
Ciclev10008566m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008567m	GO:0016020,GO:0008375
Ciclev10008568m	GO:0006468,GO:0004672,GO:0004674
Ciclev10008569m	GO:0016020,GO:0008375
Ciclev10008570m	GO:0008168,GO:0005737
Ciclev10008571m	
Ciclev10008572m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008574m	
Ciclev10008576m	GO:0006306,GO:0003677
Ciclev10008577m	
Ciclev10008578m	GO:0016757
Ciclev10008579m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008580m	GO:0016491,GO:0008152
Ciclev10008581m	
Ciclev10008582m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008583m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008584m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008585m	
Ciclev10008586m	
Ciclev10008587m	
Ciclev10008588m	
Ciclev10008589m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008590m	GO:0055114
Ciclev10008591m	
Ciclev10008592m	
Ciclev10008593m	GO:0008152,GO:0003824
Ciclev10008594m	GO:0016763
Ciclev10008595m	GO:0008276,GO:0006479,GO:0005737
Ciclev10008596m	GO:0055114
Ciclev10008597m	
Ciclev10008598m	GO:0055114
Ciclev10008599m	GO:0008168
Ciclev10008600m	GO:0055114
Ciclev10008601m	GO:0016763
Ciclev10008602m	GO:0055114
Ciclev10008603m	
Ciclev10008604m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008605m	
Ciclev10008606m	
Ciclev10008607m	GO:0016020
Ciclev10008608m	
Ciclev10008609m	GO:0030170,GO:0016769,GO:0009058,GO:0008483,GO:0006520
Ciclev10008610m	GO:0003824
Ciclev10008611m	GO:0016020,GO:0008375
Ciclev10008612m	GO:0008725,GO:0006284
Ciclev10008613m	GO:0016020,GO:0008375
Ciclev10008614m	GO:0008725,GO:0006284
Ciclev10008615m	
Ciclev10008616m	
Ciclev10008617m	GO:0043565,GO:0006355,GO:0005634,GO:0003700
Ciclev10008618m	GO:0043565,GO:0006355,GO:0005634,GO:0003700
Ciclev10008619m	GO:0006355,GO:0003677
Ciclev10008620m	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677
Ciclev10008621m	GO:0005525,GO:0003924
Ciclev10008622m	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677
Ciclev10008623m	GO:0003824
Ciclev10008624m	
Ciclev10008625m	
Ciclev10008626m	
Ciclev10008627m	
Ciclev10008628m	GO:0006355,GO:0003677
Ciclev10008629m	
Ciclev10008630m	
Ciclev10008631m	
Ciclev10008632m	GO:0016773
Ciclev10008633m	GO:0008270,GO:0003676
Ciclev10008634m	
Ciclev10008635m	
Ciclev10008636m	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677
Ciclev10008637m	
Ciclev10008638m	
Ciclev10008639m	GO:0005515
Ciclev10008640m	GO:0043565,GO:0006355,GO:0003700
Ciclev10008641m	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677
Ciclev10008642m	GO:0005515
Ciclev10008643m	GO:0005515
Ciclev10008644m	GO:0004437
Ciclev10008645m	
Ciclev10008646m	GO:0016021
Ciclev10008647m	GO:0008270,GO:0003676
Ciclev10008648m	GO:0003824
Ciclev10008649m	GO:0009055,GO:0005507
Ciclev10008650m	GO:0008152,GO:0003824
Ciclev10008651m	
Ciclev10008652m	
Ciclev10008653m	GO:0005515
Ciclev10008654m	
Ciclev10008655m	
Ciclev10008656m	
Ciclev10008657m	
Ciclev10008658m	GO:0016787
Ciclev10008659m	
Ciclev10008660m	
Ciclev10008661m	
Ciclev10008662m	GO:0006468,GO:0004672
Ciclev10008663m	
Ciclev10008664m	
Ciclev10008665m	GO:0016020
Ciclev10008666m	GO:0006468,GO:0004672
Ciclev10008667m	GO:0006334,GO:0005634,GO:0003677,GO:0000786
Ciclev10008668m	GO:0006468,GO:0004672
Ciclev10008669m	GO:0005975,GO:0004553
Ciclev10008670m	GO:0016020
Ciclev10008671m	GO:0006282
Ciclev10008672m	
Ciclev10008673m	GO:0016787
Ciclev10008674m	
Ciclev10008675m	
Ciclev10008676m	
Ciclev10008677m	GO:0016021
Ciclev10008678m	GO:0005515
Ciclev10008679m	
Ciclev10008680m	
Ciclev10008681m	GO:0005515
Ciclev10008682m	GO:0044237
Ciclev10008683m	GO:0016844,GO:0009058
Ciclev10008684m	
Ciclev10008685m	GO:0051087,GO:0042803,GO:0006457,GO:0000774
Ciclev10008686m	GO:0006334,GO:0005634
Ciclev10008687m	GO:0016844,GO:0009058
Ciclev10008688m	GO:0003723
Ciclev10008689m	GO:0006370
Ciclev10008690m	GO:0043565,GO:0008270,GO:0006355,GO:0003700
Ciclev10008691m	
Ciclev10008692m	GO:0004674,GO:0005524,GO:0006468,GO:0003824
Ciclev10008693m	GO:0006508,GO:0004197
Ciclev10008694m	GO:0006396,GO:0004525,GO:0003723,GO:0005622,GO:0003725
Ciclev10008695m	GO:0005975,GO:0004553
Ciclev10008696m	
Ciclev10008697m	
Ciclev10008698m	GO:0008612
Ciclev10008699m	GO:0005515
Ciclev10008700m	GO:0016021
Ciclev10008701m	GO:0016021
Ciclev10008702m	GO:0016491,GO:0008152
Ciclev10008703m	GO:0016491,GO:0008152
Ciclev10008704m	GO:0016021
Ciclev10008705m	GO:0055114,GO:0016491
Ciclev10008706m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008707m	GO:0007031,GO:0005779
Ciclev10008708m	GO:0006334,GO:0005634
Ciclev10008709m	GO:0016020,GO:0008375
Ciclev10008710m	GO:0016810,GO:0006807
Ciclev10008711m	
Ciclev10008712m	
Ciclev10008713m	GO:0016787
Ciclev10008714m	GO:0016844,GO:0009058
Ciclev10008715m	GO:0033588,GO:0006357
Ciclev10008716m	GO:0006281,GO:0005524,GO:0003697
Ciclev10008717m	
Ciclev10008718m	GO:0008171,GO:0046983,GO:0008168
Ciclev10008719m	GO:0003677,GO:0000723,GO:0000784
Ciclev10008720m	GO:0046983,GO:0043565,GO:0006355,GO:0003700
Ciclev10008721m	GO:0055114,GO:0016491,GO:0008270
Ciclev10008722m	
Ciclev10008723m	
Ciclev10008724m	
Ciclev10008725m	GO:0016788,GO:0006629
Ciclev10008726m	GO:0046983,GO:0043565,GO:0006355,GO:0003700
Ciclev10008727m	
Ciclev10008728m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008729m	GO:0003824
Ciclev10008730m	
Ciclev10008731m	GO:0009055,GO:0005507
Ciclev10008732m	
Ciclev10008733m	GO:0003824
Ciclev10008734m	
Ciclev10008735m	
Ciclev10008736m	GO:0005515
Ciclev10008737m	GO:0016020,GO:0006487,GO:0003830
Ciclev10008738m	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855
Ciclev10008739m	GO:0008652
Ciclev10008740m	GO:0005515
Ciclev10008741m	GO:0005622,GO:0005525
Ciclev10008742m	
Ciclev10008743m	GO:0016773
Ciclev10008744m	GO:0008168
Ciclev10008745m	GO:0016491
Ciclev10008746m	
Ciclev10008747m	GO:0003723
Ciclev10008748m	GO:0008234,GO:0006508
Ciclev10008749m	
Ciclev10008750m	GO:0031072
Ciclev10008751m	GO:0051087,GO:0042803,GO:0006457,GO:0000774
Ciclev10008752m	
Ciclev10008753m	GO:0019001,GO:0007186,GO:0004871,GO:0006471,GO:0005525
Ciclev10008754m	GO:0016020
Ciclev10008755m	
Ciclev10008756m	GO:0044237
Ciclev10008757m	
Ciclev10008758m	
Ciclev10008759m	GO:0016020,GO:0008375
Ciclev10008760m	GO:0008276,GO:0006479,GO:0005737
Ciclev10008761m	GO:0008610
Ciclev10008762m	GO:0006096,GO:0004332
Ciclev10008763m	
Ciclev10008764m	GO:0003676
Ciclev10008765m	
Ciclev10008766m	
Ciclev10008767m	GO:0006508,GO:0004185
Ciclev10008768m	GO:0043565,GO:0006355,GO:0005634,GO:0003700
Ciclev10008769m	GO:0006457,GO:0003755
Ciclev10008770m	GO:0006468,GO:0005524,GO:0004672,GO:0004674
Ciclev10008771m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008772m	
Ciclev10008773m	
Ciclev10008774m	
Ciclev10008775m	
Ciclev10008776m	
Ciclev10008777m	
Ciclev10008778m	GO:0005975,GO:0004553,GO:0048046,GO:0016762,GO:0006073,GO:0005618
Ciclev10008779m	GO:0003676
Ciclev10008780m	GO:0008234,GO:0006508
Ciclev10008781m	
Ciclev10008782m	GO:0006508,GO:0004185
Ciclev10008783m	GO:0043565,GO:0006355,GO:0003700
Ciclev10008784m	
Ciclev10008785m	GO:0005515
Ciclev10008786m	GO:0055114,GO:0006098,GO:0004616,GO:0016491
Ciclev10008787m	GO:0016020,GO:0008375
Ciclev10008788m	
Ciclev10008789m	
Ciclev10008790m	
Ciclev10008791m	GO:0030170,GO:0016769,GO:0009058,GO:0008483,GO:0006520
Ciclev10008792m	GO:0055114,GO:0020037,GO:0006979,GO:0004601
Ciclev10008793m	
Ciclev10008794m	GO:0055085
Ciclev10008795m	GO:0016779,GO:0006351,GO:0004652
Ciclev10008796m	
Ciclev10008797m	
Ciclev10008798m	GO:0016788,GO:0006629
Ciclev10008799m	GO:0016787
Ciclev10008800m	
Ciclev10008801m	
Ciclev10008802m	GO:0050662,GO:0044237,GO:0003824
Ciclev10008803m	GO:0008415,GO:0008152
Ciclev10008804m	
Ciclev10008805m	GO:0005515,GO:0016020
Ciclev10008806m	
Ciclev10008807m	
Ciclev10008808m	
Ciclev10008809m	GO:0016491
Ciclev10008810m	GO:0016491
Ciclev10008811m	
Ciclev10008812m	GO:0006355,GO:0003677
Ciclev10008813m	GO:0008270,GO:0005622,GO:0005515
Ciclev10008814m	GO:0051301,GO:0007059,GO:0005634,GO:0000775
Ciclev10008815m	
Ciclev10008816m	GO:0016020,GO:0008378,GO:0006486
Ciclev10008817m	GO:0016791
Ciclev10008818m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008819m	GO:0005515
Ciclev10008820m	GO:0016757
Ciclev10008821m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008822m	
Ciclev10008823m	GO:0016757
Ciclev10008824m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008825m	
Ciclev10008826m	GO:0006508,GO:0004190
Ciclev10008827m	GO:0016773,GO:0005975,GO:0005524
Ciclev10008828m	GO:0016773,GO:0005975,GO:0005524
Ciclev10008829m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008830m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008831m	GO:0008026,GO:0005524,GO:0003676
Ciclev10008832m	GO:0008299
Ciclev10008833m	
Ciclev10008834m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008835m	GO:0005488
Ciclev10008836m	GO:0043565,GO:0006355,GO:0003700
Ciclev10008837m	
Ciclev10008838m	
Ciclev10008839m	
Ciclev10008840m	GO:0005634,GO:0003677,GO:0008270
Ciclev10008841m	GO:0005515
Ciclev10008842m	
Ciclev10008843m	GO:0005634,GO:0003677,GO:0008270
Ciclev10008844m	
Ciclev10008845m	
Ciclev10008846m	GO:0008152,GO:0003824
Ciclev10008847m	GO:0003824
Ciclev10008848m	
Ciclev10008849m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008850m	GO:0005515,GO:0016020
Ciclev10008851m	GO:0008270,GO:0003676
Ciclev10008852m	
Ciclev10008853m	GO:0008299
Ciclev10008854m	GO:0016779
Ciclev10008855m	GO:0005515
Ciclev10008856m	GO:0006418,GO:0006412,GO:0005737,GO:0005524,GO:0004812,GO:0000166,GO:0006436,GO:0004830
Ciclev10008857m	
Ciclev10008858m	GO:0031072,GO:0051082,GO:0006457
Ciclev10008859m	GO:0005515
Ciclev10008860m	
Ciclev10008861m	
Ciclev10008862m	
Ciclev10008863m	
Ciclev10008864m	GO:0004126,GO:0008270,GO:0016787
Ciclev10008865m	GO:0016491
Ciclev10008866m	
Ciclev10008867m	GO:0008408,GO:0006139,GO:0005622,GO:0003676,GO:0003723
Ciclev10008868m	GO:0055114,GO:0020037,GO:0006979,GO:0004601
Ciclev10008869m	
Ciclev10008870m	GO:0003824
Ciclev10008871m	GO:0006457,GO:0003755
Ciclev10008872m	GO:0016021,GO:0004659
Ciclev10008873m	
Ciclev10008874m	GO:0016491
Ciclev10008875m	GO:0008168,GO:0008152
Ciclev10008876m	GO:0016020,GO:0008378,GO:0006486
Ciclev10008877m	
Ciclev10008878m	GO:0048193,GO:0016020
Ciclev10008879m	
Ciclev10008880m	GO:0016491
Ciclev10008881m	GO:0042254,GO:0005634
Ciclev10008882m	GO:0043565,GO:0006355,GO:0003700,GO:0005634,GO:0003677
Ciclev10008883m	GO:0048193,GO:0016020
Ciclev10008884m	
Ciclev10008885m	GO:0006355,GO:0003677
Ciclev10008886m	
Ciclev10008887m	
Ciclev10008888m	GO:0055085,GO:0022857,GO:0016021
Ciclev10008889m	GO:0016021
Ciclev10008890m	
Ciclev10008891m	
Ciclev10008892m	
Ciclev10008893m	
Ciclev10008894m	GO:0051087,GO:0042803,GO:0006457,GO:0000774
Ciclev10008895m	GO:0016301,GO:0008152,GO:0005524,GO:0016773
Ciclev10008896m	
Ciclev10008897m	
Ciclev10008898m	GO:0005515
Ciclev10008899m	
Ciclev10008900m	GO:0055114,GO:0016491
Ciclev10008901m	
Ciclev10008902m	
Ciclev10008903m	
Ciclev10008904m	
Ciclev10008905m	
Ciclev10008906m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008907m	GO:0055114,GO:0016491
Ciclev10008908m	
Ciclev10008909m	
Ciclev10008910m	
Ciclev10008911m	GO:0045454,GO:0015035,GO:0009055
Ciclev10008912m	GO:0006468,GO:0005524,GO:0004672
Ciclev10008913m	
Ciclev10008914m	
Ciclev10008915m	
Ciclev10008916m	
Ciclev10008917m	GO:0050662,GO:0044237,GO:0003824
Ciclev10008918m	GO:0005515
Ciclev10008919m	GO:0003677,GO:0005622
Ciclev10008920m	
Ciclev10008921m	
Ciclev10008922m	GO:0005515,GO:0016818,GO:0006355,GO:0005634,GO:0005524
Ciclev10008923m	GO:0005737,GO:0005634
Ciclev10008924m	GO:0003723
Ciclev10008925m	GO:0055114,GO:0020037,GO:0006979,GO:0004601
Ciclev10008926m	
Ciclev10008927m	
Ciclev10008928m	
Ciclev10008929m	
Ciclev10008930m	GO:0043565,GO:0006355,GO:0003700
