Phpat.001G000100.1	GO:0005089
Phpat.003G085700.1	
Phpat.003G085700.2	
Phpat.003G085800.1	GO:0003824,GO:0003852,GO:0009098
Phpat.003G085900.1	GO:0008810,GO:0030245
Phpat.003G086000.1	
Phpat.003G086100.1	
Phpat.003G086100.2	
Phpat.003G086100.3	
Phpat.003G086100.4	
Phpat.003G086100.5	
Phpat.003G086100.6	
Phpat.003G086200.1	GO:0005215,GO:0006810,GO:0055085,GO:0016020
Phpat.003G086200.2	GO:0005215,GO:0006810,GO:0055085,GO:0016020
Phpat.003G086200.3	GO:0005215,GO:0006810,GO:0055085,GO:0016020
Phpat.003G086200.4	GO:0005215,GO:0006810,GO:0055085,GO:0016020
Phpat.003G086300.1	
Phpat.003G086400.1	GO:0005215,GO:0006810,GO:0055085,GO:0016020
Phpat.003G086400.2	GO:0005215,GO:0006810,GO:0055085,GO:0016020
Phpat.003G086500.1	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030126
Phpat.003G086600.1	GO:0006810,GO:0055085,GO:0016020
Phpat.003G086600.2	GO:0006810,GO:0055085,GO:0016020
Phpat.003G086700.1	
Phpat.003G086800.1	
Phpat.003G086900.1	GO:0009055,GO:0051536
Phpat.003G087000.1	GO:0009055,GO:0051536
Phpat.003G087100.1	GO:0003677,GO:0043565,GO:0005622
Phpat.003G087100.2	GO:0003677,GO:0043565,GO:0005622
Phpat.003G087100.3	GO:0003677,GO:0043565,GO:0005622
Phpat.003G087200.1	GO:0003824
Phpat.003G087200.2	GO:0003824
Phpat.003G087200.3	GO:0003824
Phpat.003G087200.4	GO:0003824
Phpat.003G087200.5	GO:0003824
Phpat.003G087200.6	GO:0003824
Phpat.003G087200.7	GO:0003824
Phpat.003G087300.1	
Phpat.003G087400.1	
Phpat.003G087500.1	
Phpat.003G087500.2	
Phpat.003G087600.1	
Phpat.003G087700.1	
Phpat.003G087800.1	
Phpat.003G087800.2	
Phpat.003G087900.1	GO:0016491,GO:0020037,GO:0051536,GO:0055114
Phpat.003G088000.1	
Phpat.003G088100.1	GO:0003824,GO:0008152
Phpat.003G088100.2	GO:0003824,GO:0008152
Phpat.003G088100.3	GO:0003824,GO:0008152
Phpat.003G088200.1	
Phpat.003G088300.1	
Phpat.003G088400.1	
Phpat.003G088400.2	
Phpat.003G088500.1	
Phpat.003G088600.1	
Phpat.003G088700.1	
Phpat.003G088700.2	
Phpat.003G088800.1	GO:0016020
Phpat.003G088800.2	GO:0016020
Phpat.003G088800.3	GO:0016020
Phpat.003G088900.1	
Phpat.003G089000.1	
Phpat.003G089100.1	GO:0016874
Phpat.003G089100.2	GO:0016874
Phpat.003G089200.1	GO:0005737
Phpat.003G089300.1	
Phpat.003G089300.2	
Phpat.003G089300.3	
Phpat.003G089300.4	
Phpat.003G089400.1	
Phpat.003G089400.2	
Phpat.003G089400.3	
Phpat.003G089400.4	
Phpat.003G089500.1	
Phpat.003G089600.1	GO:0016831,GO:0030170,GO:0019752
Phpat.003G089700.1	
Phpat.003G089800.1	
Phpat.003G089800.2	
Phpat.003G089800.3	
Phpat.003G089900.1	
Phpat.003G090000.1	GO:0003824,GO:0005992
Phpat.003G090000.2	GO:0003824,GO:0005992
Phpat.003G090100.1	GO:0005524,GO:0016887
Phpat.003G090100.2	GO:0005524,GO:0016887
Phpat.003G090100.3	GO:0005524,GO:0016887
Phpat.003G090100.4	GO:0005524,GO:0016887
Phpat.003G090200.1	
Phpat.003G090300.1	
Phpat.003G090400.1	
Phpat.003G090500.1	GO:0003677
Phpat.003G090500.2	GO:0003677
Phpat.003G090500.3	
Phpat.003G090600.1	
Phpat.003G090700.1	
Phpat.003G090800.1	GO:0005622,GO:0042254,GO:0005730
Phpat.003G090900.1	
Phpat.003G091000.1	GO:0016491
Phpat.003G091100.1	
Phpat.003G091200.1	
Phpat.003G091300.1	GO:0030833,GO:0005856
Phpat.003G091400.1	
Phpat.003G091400.2	
Phpat.003G091400.3	
Phpat.003G091500.1	
Phpat.003G091500.2	
Phpat.003G091500.3	
Phpat.003G091600.1	GO:0003676,GO:0006397
Phpat.003G091600.2	GO:0003676,GO:0006397
Phpat.003G091600.3	GO:0003676,GO:0006397
Phpat.003G091700.1	GO:0008270,GO:0016491,GO:0055114
Phpat.003G091800.1	
Phpat.003G091900.1	
Phpat.003G092000.1	
Phpat.003G092100.1	
Phpat.003G092200.1	GO:0016491,GO:0008152,GO:0055114
Phpat.003G092300.1	GO:0008270,GO:0016491,GO:0055114
Phpat.003G092400.1	GO:0005515
Phpat.003G092500.1	
Phpat.003G092600.1	GO:0008270,GO:0016491,GO:0055114
Phpat.003G092600.2	GO:0008270,GO:0016491,GO:0055114
Phpat.003G092700.1	GO:0004143,GO:0007205
Phpat.003G092800.1	GO:0005524,GO:0009378,GO:0006281,GO:0006310,GO:0016887
Phpat.003G092800.2	GO:0005524,GO:0009378,GO:0006281,GO:0006310,GO:0016887
Phpat.003G092800.3	GO:0005524,GO:0009378,GO:0006281,GO:0006310,GO:0016887
Phpat.003G092800.4	GO:0005524,GO:0009378,GO:0006281,GO:0006310,GO:0016887
Phpat.003G092900.1	GO:0005515
Phpat.003G093000.1	GO:0003677,GO:0005524,GO:0003676,GO:0004386
Phpat.003G093000.2	GO:0003677,GO:0005524,GO:0003676,GO:0004386
Phpat.003G093100.1	GO:0005515
Phpat.003G093100.2	GO:0005515
Phpat.003G093200.1	GO:0003735,GO:0006412,GO:0005840
Phpat.003G093300.1	
Phpat.003G093400.1	GO:0019843,GO:0005622,GO:0003723
Phpat.003G093500.1	GO:0005515
Phpat.003G093500.2	GO:0005515
Phpat.003G093600.1	GO:0008020,GO:0006355,GO:0009584,GO:0018298,GO:0000155,GO:0007165,GO:0016020,GO:0005515,GO:0005524
Phpat.003G093600.2	GO:0008020,GO:0006355,GO:0009584,GO:0018298,GO:0005515
Phpat.003G093700.1	GO:0005515
Phpat.003G093800.1	GO:0046417
Phpat.003G093800.2	GO:0046417
Phpat.003G093800.3	GO:0046417
Phpat.003G093900.1	
Phpat.003G094000.1	
Phpat.003G094100.1	GO:0008168,GO:0008152
Phpat.003G094100.2	GO:0008168,GO:0008152
Phpat.003G094100.3	GO:0008168,GO:0008152
Phpat.003G094100.4	GO:0008168,GO:0008152
Phpat.003G094200.1	GO:0008168
Phpat.003G094300.1	GO:0003855,GO:0004764,GO:0055114
Phpat.003G094300.2	GO:0003855,GO:0004764,GO:0055114
Phpat.003G094300.3	GO:0003855,GO:0004764,GO:0055114
Phpat.003G094400.1	GO:0003677,GO:0005634
Phpat.003G094400.2	GO:0003677,GO:0005634
Phpat.003G094400.3	GO:0003677,GO:0005634
Phpat.003G094500.1	GO:0016020,GO:0005515
Phpat.003G094600.1	GO:0004190,GO:0016021
Phpat.003G094600.2	GO:0004190,GO:0016021
Phpat.003G094700.1	GO:0004190,GO:0016021
Phpat.003G094800.1	
Phpat.003G094900.1	GO:0016624,GO:0008152
Phpat.003G095000.1	
Phpat.003G095100.1	GO:0003676
Phpat.003G095200.1	
Phpat.003G095300.1	GO:0005515
Phpat.003G095400.1	GO:0005525
Phpat.003G095500.1	
Phpat.003G095600.1	GO:0004601,GO:0020037,GO:0006979,GO:0055114
Phpat.003G095700.1	GO:0008270,GO:0070403,GO:0006476
Phpat.003G095700.2	GO:0008270,GO:0070403,GO:0006476
Phpat.003G095800.1	GO:0004842,GO:0016567,GO:0000151
Phpat.003G095900.1	
Phpat.003G096000.1	GO:0003824,GO:0008152
Phpat.003G096100.1	GO:0008270
Phpat.003G096100.2	GO:0008270
Phpat.003G096100.3	GO:0008270
Phpat.003G096100.4	GO:0008270
Phpat.003G096200.1	
Phpat.003G096200.2	
Phpat.003G096300.1	
Phpat.003G096400.1	
Phpat.003G096500.1	GO:0004842,GO:0008270
Phpat.003G096600.1	
Phpat.003G096600.2	
Phpat.003G096600.3	
Phpat.003G096700.1	GO:0045454
Phpat.003G096700.2	GO:0045454
Phpat.003G096700.3	
Phpat.003G096700.4	
Phpat.003G096700.5	
Phpat.003G096700.6	
Phpat.003G096700.7	
Phpat.003G096700.8	
Phpat.003G096800.1	
Phpat.003G096900.1	
Phpat.003G097000.1	
Phpat.003G097100.1	
Phpat.003G097200.1	
Phpat.003G097300.1	
Phpat.003G097400.1	GO:0004672,GO:0005524,GO:0006468,GO:0005515
Phpat.003G097400.2	GO:0004672,GO:0005524,GO:0006468,GO:0005515
Phpat.003G097400.3	GO:0004672,GO:0005524,GO:0006468,GO:0005515
Phpat.003G097500.1	
Phpat.003G097600.1	GO:0016787
Phpat.003G097700.1	
Phpat.003G097800.1	GO:0030599,GO:0042545,GO:0005618
Phpat.003G097800.2	GO:0030599,GO:0042545,GO:0005618
Phpat.003G097900.1	
Phpat.003G098000.1	
Phpat.003G098100.1	
Phpat.003G098200.1	
Phpat.003G098200.2	
Phpat.003G098200.3	
Phpat.003G098200.4	
Phpat.003G098200.5	
Phpat.003G098300.1	GO:0004057,GO:0016598
Phpat.003G098300.2	GO:0004057,GO:0016598
Phpat.003G098300.3	GO:0004057,GO:0016598
Phpat.003G098300.4	GO:0004057,GO:0016598
Phpat.003G098400.1	
Phpat.003G098500.1	
Phpat.003G098600.1	
Phpat.003G098700.1	GO:0003824,GO:0005992
Phpat.003G098700.2	GO:0003824,GO:0005992
Phpat.003G098700.3	GO:0003824,GO:0005992
Phpat.003G098700.4	GO:0003824,GO:0005992
Phpat.003G098700.5	GO:0003824,GO:0005992
Phpat.003G098700.6	GO:0003824,GO:0005992
Phpat.003G098700.7	GO:0003824,GO:0005992
Phpat.003G098700.8	GO:0003824,GO:0005992
Phpat.003G098700.9	GO:0003824,GO:0005992
Phpat.003G098800.1	GO:0005507,GO:0009055
Phpat.003G098900.1	
Phpat.003G099000.1	
Phpat.003G099100.1	GO:0003676,GO:0008270
Phpat.003G099200.1	
Phpat.003G099200.2	
Phpat.003G099300.1	
Phpat.003G099400.1	GO:0003746,GO:0006414,GO:0005853
Phpat.003G099500.1	
Phpat.003G099600.1	GO:0000287,GO:0030976,GO:0003824
Phpat.003G099700.1	
Phpat.003G099700.2	
Phpat.003G099800.1	GO:0004672,GO:0005524,GO:0006468
Phpat.003G099900.1	GO:0000287,GO:0004743,GO:0030955,GO:0006096,GO:0016830,GO:0006725
Phpat.003G100000.1	
Phpat.003G100100.1	
Phpat.003G100200.1	
Phpat.003G100300.1	GO:0001104,GO:0006357,GO:0016592
Phpat.003G100300.2	GO:0001104,GO:0006357,GO:0016592
Phpat.003G100300.3	
Phpat.003G100300.4	
Phpat.003G100300.5	
Phpat.003G100300.6	
Phpat.003G100300.7	
Phpat.003G100400.1	GO:0005506,GO:0051536,GO:0016226
Phpat.003G100500.1	GO:0003723,GO:0008173,GO:0006396
Phpat.003G100500.2	GO:0003723,GO:0008173,GO:0006396
Phpat.003G100500.3	GO:0003723,GO:0008173,GO:0006396
Phpat.003G100600.1	GO:0005515,GO:0003735,GO:0006412,GO:0005840
Phpat.003G100700.1	
Phpat.003G100800.1	
Phpat.003G100900.1	
Phpat.003G101000.1	GO:0005515
Phpat.003G101000.2	GO:0005515
Phpat.003G101100.1	
Phpat.003G101200.1	GO:0003677,GO:0006355
Phpat.003G101200.2	GO:0003677,GO:0006355
Phpat.003G101200.3	GO:0003677,GO:0006355
Phpat.003G101200.4	GO:0003677,GO:0006355
Phpat.003G101200.5	GO:0003677,GO:0006355
Phpat.003G101300.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.003G101400.1	GO:0005524,GO:0016887
Phpat.003G101400.2	GO:0005524,GO:0016887
Phpat.003G101500.1	GO:0016021
Phpat.003G101500.2	GO:0016021
Phpat.003G101600.1	GO:0000902
Phpat.003G101700.1	
Phpat.003G101800.1	
Phpat.003G101900.1	GO:0003924,GO:0005525,GO:0004789,GO:0009228,GO:0007264,GO:0005622
Phpat.003G101900.2	GO:0003924,GO:0005525,GO:0004789,GO:0009228,GO:0007264,GO:0005622
Phpat.003G102000.1	
Phpat.003G102000.2	
Phpat.003G102000.3	
Phpat.003G102000.4	
Phpat.003G102100.1	GO:0043565,GO:0005622
Phpat.003G102200.1	
Phpat.003G102300.1	
Phpat.003G102400.1	
Phpat.003G102400.2	
Phpat.003G102500.1	GO:0017150,GO:0050660,GO:0008033,GO:0055114
Phpat.003G102600.1	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.003G102600.2	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.003G102700.1	
Phpat.003G102700.2	
Phpat.003G102700.3	
Phpat.003G102800.1	
Phpat.003G102900.1	GO:0005515
Phpat.003G103000.1	
Phpat.003G103100.1	GO:0008889,GO:0006071
Phpat.003G103100.2	GO:0008889,GO:0006071
Phpat.003G103100.3	GO:0008889,GO:0006071
Phpat.003G103100.4	GO:0008889,GO:0006071
Phpat.003G103100.5	GO:0008889,GO:0006071
Phpat.003G103100.6	GO:0008889,GO:0006071
Phpat.003G103100.7	GO:0008889,GO:0006071
Phpat.003G103100.8	GO:0008889,GO:0006071
Phpat.003G103200.1	GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114
Phpat.003G103300.1	
Phpat.003G103400.1	
Phpat.003G103500.1	GO:0022857,GO:0055085,GO:0016021
Phpat.003G103600.1	
Phpat.003G103700.1	
Phpat.003G103800.1	GO:0005783
Phpat.003G103900.1	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.2	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.3	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.4	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.5	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.6	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.7	GO:0003677,GO:0008270,GO:0006355
Phpat.003G103900.8	GO:0003677,GO:0008270,GO:0006355
Phpat.003G104000.1	GO:0005783
Phpat.003G104000.2	GO:0005783
Phpat.003G104100.1	GO:0005515
Phpat.003G104200.1	
Phpat.003G104200.2	
Phpat.003G104300.1	GO:0004672,GO:0005524,GO:0006468
Phpat.003G104300.2	GO:0004672,GO:0005524,GO:0006468
Phpat.003G104300.3	GO:0004672,GO:0005524,GO:0006468
Phpat.003G104300.4	GO:0004672,GO:0005524,GO:0006468
Phpat.003G104300.5	GO:0004672,GO:0005524,GO:0006468
Phpat.003G104300.6	GO:0004672,GO:0005524,GO:0006468
Phpat.003G104400.1	
Phpat.003G104500.1	GO:0016757
Phpat.003G104500.2	GO:0016757
Phpat.003G104600.1	GO:0008152
Phpat.003G104600.2	GO:0008152
Phpat.003G104600.3	GO:0008152
Phpat.003G104600.4	GO:0008152
Phpat.003G104700.1	
Phpat.003G104800.1	
Phpat.003G104800.2	
Phpat.003G104800.3	
Phpat.003G104900.1	
Phpat.003G105000.1	GO:0016746,GO:0008152
Phpat.003G105100.1	
Phpat.003G105100.2	
Phpat.003G105200.1	GO:0000902
Phpat.003G105300.1	GO:0000902
Phpat.003G105400.1	
Phpat.003G105400.2	
Phpat.003G105400.3	
Phpat.003G105400.4	
Phpat.003G105500.1	GO:0005515
Phpat.003G105600.1	GO:0000228
Phpat.003G105700.1	GO:0005515
Phpat.003G105800.1	GO:0003735,GO:0006412,GO:0005622,GO:0005840
Phpat.003G105900.1	
Phpat.003G106000.1	GO:0016740,GO:0030170,GO:0009058
Phpat.003G106100.1	GO:0006605,GO:0006886,GO:0016020
Phpat.003G106200.1	
Phpat.003G106200.2	
Phpat.003G106200.3	
Phpat.003G106300.1	
Phpat.003G106400.1	
Phpat.003G106500.1	
Phpat.003G106500.2	
Phpat.003G106600.1	GO:0003677
Phpat.003G106700.1	
Phpat.003G106800.1	GO:0004553,GO:0005975
Phpat.003G106900.1	
Phpat.003G107000.1	
Phpat.003G107100.1	
Phpat.003G107200.1	
Phpat.003G107300.1	
Phpat.003G107400.1	
Phpat.003G107500.1	
Phpat.003G107600.1	
Phpat.003G107700.1	
Phpat.003G107800.1	GO:0006355,GO:0005634
Phpat.003G107800.10	GO:0006355,GO:0005634
Phpat.003G107800.2	GO:0006355,GO:0005634
Phpat.003G107800.3	GO:0006355,GO:0005634
Phpat.003G107800.4	GO:0006355,GO:0005634
Phpat.003G107800.5	GO:0006355,GO:0005634
Phpat.003G107800.6	GO:0006355,GO:0005634
Phpat.003G107800.7	GO:0006355,GO:0005634
Phpat.003G107800.8	GO:0006355,GO:0005634
Phpat.003G107800.9	GO:0006355,GO:0005634
Phpat.003G107900.1	
Phpat.003G108000.1	
Phpat.003G108100.1	
Phpat.003G108200.1	GO:0006886,GO:0048280,GO:0000139,GO:0005737,GO:0008565,GO:0016020
Phpat.003G108300.1	
Phpat.003G108300.2	
Phpat.003G108300.3	
Phpat.003G108300.4	
Phpat.003G108300.5	
Phpat.003G108300.6	
Phpat.003G108400.1	GO:0005515
Phpat.003G108400.2	GO:0005515
Phpat.003G108500.1	GO:0005515
Phpat.003G108500.2	GO:0005515
Phpat.003G108500.3	GO:0005515
Phpat.003G108600.1	GO:0016491,GO:0055114
Phpat.003G108700.1	GO:0031305
Phpat.003G108700.2	GO:0031305
Phpat.003G108700.3	GO:0031305
Phpat.003G108800.1	
Phpat.003G108900.1	
Phpat.003G108900.2	
Phpat.003G108900.3	
Phpat.003G109000.1	GO:0006887,GO:0000145
Phpat.003G109100.1	
Phpat.003G109200.1	GO:0006364,GO:0032040
Phpat.003G109300.1	
Phpat.003G109400.1	
Phpat.003G109500.1	
Phpat.003G109600.1	GO:0004553,GO:0005975
Phpat.003G109700.1	GO:0003924,GO:0005525,GO:0007264,GO:0005634,GO:0005737,GO:0005622
Phpat.003G109800.1	
Phpat.003G109900.1	GO:0005759
Phpat.003G110000.1	
Phpat.003G110000.2	
Phpat.003G110000.3	
Phpat.003G110000.4	
Phpat.003G110100.1	
Phpat.003G110200.1	
Phpat.003G110300.1	
Phpat.003G110400.1	
Phpat.003G110500.1	GO:0003700,GO:0043565,GO:0006355
Phpat.003G110600.1	GO:0004553,GO:0005975
Phpat.003G110700.1	
Phpat.003G110700.2	
Phpat.003G110800.1	GO:0046873,GO:0030001,GO:0055085,GO:0016020
Phpat.003G110800.2	GO:0046873,GO:0030001,GO:0055085,GO:0016020
Phpat.003G110900.1	
Phpat.003G110900.2	
Phpat.003G110900.3	
Phpat.003G110900.4	
Phpat.003G110900.5	
Phpat.003G110900.6	
Phpat.003G110900.7	
Phpat.003G111000.1	GO:0003677,GO:0003887,GO:0006260
Phpat.003G111000.2	GO:0003677,GO:0003887,GO:0006260
Phpat.003G111100.1	GO:0045300,GO:0006631,GO:0055114
Phpat.003G111200.1	
Phpat.003G111200.2	
Phpat.003G111200.3	
Phpat.003G111200.4	
Phpat.003G111300.1	GO:0003924,GO:0005525,GO:0007264,GO:0005622
Phpat.003G111300.2	GO:0003924,GO:0005525,GO:0007264,GO:0005622
Phpat.003G111300.3	GO:0003924,GO:0005525,GO:0007264,GO:0005622
Phpat.003G111400.1	GO:0004298,GO:0051603,GO:0005839,GO:0004175,GO:0006511,GO:0019773
Phpat.003G111500.1	
Phpat.003G111500.2	
Phpat.003G111600.1	
Phpat.003G111700.1	
Phpat.003G111800.1	
Phpat.003G111800.2	
Phpat.003G111800.3	
Phpat.003G111900.1	GO:0004553,GO:0005975
Phpat.003G112000.1	
Phpat.003G112100.1	GO:0004190,GO:0006508
Phpat.003G112100.2	GO:0004190,GO:0006508
Phpat.003G112200.1	GO:0008937,GO:0055114
Phpat.003G112200.2	GO:0008937,GO:0055114
Phpat.003G112200.3	GO:0008937,GO:0055114
Phpat.003G112200.4	GO:0008937,GO:0055114
Phpat.003G112200.5	GO:0008937,GO:0055114
Phpat.003G112200.6	GO:0008937,GO:0055114
Phpat.003G112300.1	
Phpat.003G112400.1	
Phpat.003G112500.1	GO:0004672,GO:0005524,GO:0006468,GO:0005515
Phpat.003G112600.1	GO:0031072
Phpat.003G112700.1	
Phpat.003G112800.1	
Phpat.003G112900.1	GO:0005515
Phpat.003G112900.2	GO:0005515
Phpat.003G113000.1	
Phpat.003G113000.2	
Phpat.003G113100.1	
Phpat.003G113200.1	GO:0004672,GO:0005524,GO:0006468
Phpat.003G113300.1	GO:0004252,GO:0006508
Phpat.003G113400.1	
Phpat.003G113500.1	
Phpat.003G113600.1	
Phpat.003G113700.1	
Phpat.003G113700.2	
Phpat.003G113800.1	GO:0004371,GO:0006071
Phpat.003G113900.1	GO:0046872,GO:0030001
Phpat.003G113900.2	GO:0046872,GO:0030001
Phpat.003G113900.3	GO:0046872,GO:0030001
Phpat.003G114000.1	GO:0004568,GO:0006032,GO:0016998
Phpat.003G114100.1	GO:0015031
Phpat.003G114200.1	
Phpat.003G114200.2	
Phpat.003G114300.1	
Phpat.003G114400.1	
Phpat.003G114400.2	
Phpat.003G114500.1	GO:0005249,GO:0006813,GO:0008076,GO:0016020
Phpat.003G114600.1	GO:0003871,GO:0009086,GO:0008270,GO:0008652
Phpat.003G114700.1	GO:0003700,GO:0043565,GO:0006355,GO:0005515
Phpat.003G114800.1	GO:0005634
Phpat.003G114800.2	GO:0005634
Phpat.003G114900.1	
Phpat.003G115000.1	
Phpat.003G115000.2	
Phpat.003G115100.1	
Phpat.003G115200.1	GO:0008270,GO:0006886,GO:0006888,GO:0030127
Phpat.003G115300.1	
Phpat.003G115400.1	
Phpat.003G115500.1	
Phpat.003G115500.2	
Phpat.003G115600.1	GO:0003723
Phpat.003G115700.1	
Phpat.003G115800.1	
Phpat.003G115900.1	
Phpat.003G116000.1	
Phpat.003G116100.1	GO:0003677,GO:0005524,GO:0003676,GO:0004386
Phpat.003G116200.1	GO:0004484,GO:0006370,GO:0006397
Phpat.003G116300.1	
Phpat.003G116400.1	GO:0016844,GO:0009058
Phpat.003G116400.2	GO:0016844,GO:0009058
Phpat.003G116500.1	GO:0005524,GO:0016887
Phpat.003G116500.2	GO:0005524,GO:0016887
Phpat.003G116600.1	
Phpat.003G116700.1	
Phpat.003G116700.2	
Phpat.003G116700.3	
Phpat.003G116700.4	
Phpat.003G116700.5	
Phpat.003G116800.1	GO:0010181,GO:0016491,GO:0009055,GO:0050662
Phpat.003G116900.1	
Phpat.003G117000.1	GO:0003700,GO:0043565,GO:0006355
Phpat.003G117000.2	
Phpat.003G117000.3	
Phpat.003G117000.4	GO:0003700,GO:0043565,GO:0006355
Phpat.003G117000.5	
Phpat.003G117000.6	
Phpat.003G117000.7	GO:0003700,GO:0043565,GO:0006355
Phpat.003G117000.8	GO:0003700,GO:0043565,GO:0006355
Phpat.003G117000.9	
Phpat.003G117100.1	
Phpat.003G117200.1	
Phpat.003G117300.1	GO:0003677,GO:0043565,GO:0005622
Phpat.003G117300.2	GO:0003677,GO:0043565,GO:0005622
Phpat.003G117400.1	
Phpat.003G117400.2	
Phpat.003G117400.3	
Phpat.003G117500.1	GO:0016020
Phpat.003G117600.1	GO:0016811,GO:0006672,GO:0016021
Phpat.003G117600.2	GO:0016811,GO:0006672,GO:0016021
Phpat.003G117600.3	GO:0016811,GO:0006672,GO:0016021
Phpat.003G117600.4	GO:0016811,GO:0006672,GO:0016021
Phpat.003G117600.5	GO:0016811,GO:0006672,GO:0016021
Phpat.003G117700.1	GO:0016758,GO:0016021
Phpat.003G117800.1	GO:0004601,GO:0020037,GO:0006979,GO:0055114
Phpat.003G117800.2	GO:0004601,GO:0020037,GO:0006979,GO:0055114
Phpat.003G117900.1	GO:0008508,GO:0006814,GO:0016020
Phpat.003G118000.1	
Phpat.003G118100.1	GO:0003677,GO:0005524,GO:0003676,GO:0008026,GO:0004386,GO:0016787
Phpat.003G118200.1	GO:0006397
Phpat.003G118300.1	GO:0007155,GO:0004560,GO:0005975
Phpat.003G118400.1	GO:0016616,GO:0048037,GO:0055114
Phpat.003G118500.1	GO:0004252,GO:0006508
Phpat.003G118600.1	
Phpat.003G118700.1	
Phpat.003G118800.1	GO:0003824,GO:0050662,GO:0044237
Phpat.003G118800.2	GO:0003824,GO:0050662,GO:0044237
Phpat.003G118900.1	
Phpat.003G119000.1	
Phpat.003G119000.2	
Phpat.003G119100.1	GO:0005515
Phpat.003G119200.1	GO:0004190,GO:0016021
Phpat.003G119300.1	
Phpat.003G119400.1	
Phpat.003G119500.1	GO:0004719,GO:0006464
Phpat.003G119500.2	GO:0004719,GO:0006464
Phpat.003G119500.3	GO:0004719,GO:0006464
Phpat.003G119600.1	GO:0016021
Phpat.003G119700.1	GO:0030599,GO:0042545,GO:0005618
Phpat.003G119700.2	GO:0030599,GO:0042545,GO:0005618
Phpat.003G119700.3	GO:0030599,GO:0042545,GO:0005618
Phpat.003G119700.4	GO:0030599,GO:0042545,GO:0005618
Phpat.003G119800.1	
Phpat.003G119800.2	
Phpat.003G119800.3	
Phpat.003G119800.4	
Phpat.003G119900.1	GO:0008236,GO:0006508,GO:0016020,GO:0004177
Phpat.003G119900.2	GO:0008236,GO:0006508,GO:0016020,GO:0004177
Phpat.003G120000.1	
Phpat.003G120000.2	
Phpat.003G120100.1	
Phpat.003G120200.1	
Phpat.003G120300.1	GO:0003677
Phpat.003G120300.2	
Phpat.003G120300.3	
Phpat.003G120300.4	
Phpat.003G120400.1	GO:0009116,GO:0008152
Phpat.003G120400.2	GO:0009116,GO:0008152
Phpat.003G120500.1	GO:0009116,GO:0008152
Phpat.003G120600.1	GO:0016491,GO:0008152,GO:0003824,GO:0050662,GO:0044237
Phpat.003G120600.2	GO:0016491,GO:0008152,GO:0003824,GO:0050662,GO:0044237
Phpat.003G120600.3	GO:0016491,GO:0008152,GO:0003824,GO:0050662,GO:0044237
Phpat.003G120600.4	GO:0016491,GO:0008152,GO:0003824,GO:0050662,GO:0044237
Phpat.003G120700.1	
Phpat.003G120700.2	
Phpat.003G120800.1	GO:0016705,GO:0016117,GO:0016491,GO:0055114
Phpat.003G120800.2	GO:0016705,GO:0016117,GO:0016491,GO:0055114
Phpat.003G120900.1	
Phpat.003G120900.2	
Phpat.003G120900.3	
Phpat.003G120900.4	
Phpat.003G120900.5	
Phpat.003G120900.6	
Phpat.003G121000.1	GO:0004512,GO:0006021,GO:0008654
Phpat.003G121000.2	GO:0004512,GO:0006021,GO:0008654
Phpat.003G121000.3	GO:0004512,GO:0006021,GO:0008654
Phpat.003G121100.1	GO:0042578
Phpat.003G121100.2	GO:0042578
Phpat.003G121200.1	
Phpat.003G121200.2	
Phpat.003G121300.1	
Phpat.003G121400.1	GO:0003824
Phpat.003G121500.1	GO:0005515,GO:0048193,GO:0016020
Phpat.003G121500.2	GO:0005515,GO:0048193,GO:0016020
Phpat.003G121600.1	
Phpat.003G121700.1	GO:0055085,GO:0016021
Phpat.003G121700.2	GO:0055085,GO:0016021
Phpat.003G121700.3	GO:0055085,GO:0016021
Phpat.003G121700.4	GO:0055085,GO:0016021
Phpat.003G121700.5	GO:0055085,GO:0016021
Phpat.003G121700.6	GO:0055085,GO:0016021
Phpat.003G121700.7	GO:0055085,GO:0016021
Phpat.003G121700.8	GO:0055085,GO:0016021
Phpat.003G121700.9	GO:0022857,GO:0055085,GO:0016021
Phpat.003G121800.1	GO:0003677,GO:0005634
Phpat.003G121800.2	
Phpat.003G121900.1	
Phpat.003G122000.1	
Phpat.003G122100.1	GO:0003677,GO:0005634
Phpat.003G122200.1	
Phpat.003G122300.1	
Phpat.003G122400.1	
Phpat.003G122400.2	
Phpat.003G122400.3	
Phpat.003G122500.1	GO:0016746,GO:0016747,GO:0006633,GO:0016020,GO:0008610
Phpat.003G122600.1	
Phpat.003G122700.1	GO:0016787,GO:0006541
Phpat.003G122800.1	GO:0003700,GO:0006355
Phpat.003G122900.1	GO:0003700,GO:0006355
Phpat.003G123000.1	
